Start Training ...................................

          Initializing TSN with base model: resnet18.
          TSN Configurations:
              input_modality:     RGB
              num_segments:       3
              new_length:         1
              consensus_module:   avg
              dropout_ratio:      0.8
               
Load and modify the standard model FC output layer
Dropout Layer added and The modified linear layer is : Linear(in_features=512, out_features=101, bias=True)
Done. Loading and Modifying 
 ---------------------------------------------------
---------------------------------------------------
group: first_conv_weight has 1 params, lr_mult: 1, decay_mult: 1
group: first_conv_bias has 0 params, lr_mult: 2, decay_mult: 0
group: normal_weight has 20 params, lr_mult: 1, decay_mult: 1
group: normal_bias has 1 params, lr_mult: 2, decay_mult: 0
group: BN scale/shift has 2 params, lr_mult: 1, decay_mult: 0
---------------------------------------------------
Epoch: [2][240/299], lr: 0.00100	Time 0.307 (0.339)	Data 0.000 (0.019)	Loss 1.0538 (1.3616)	Acc@1 71.875 (61.722)	Acc@5 100.000 (88.667)
Epoch: [2][260/299], lr: 0.00100	Time 0.307 (0.337)	Data 0.000 (0.018)	Loss 1.4889 (1.3580)	Acc@1 59.375 (61.841)	Acc@5 90.625 (88.757)
Epoch: [2][280/299], lr: 0.00100	Time 0.307 (0.336)	Data 0.000 (0.017)	Loss 0.7210 (1.3467)	Acc@1 81.250 (62.066)	Acc@5 93.750 (88.890)
Epoch: [3][0/299], lr: 0.00100	Time 4.716 (4.716)	Data 4.324 (4.324)	Loss 0.7606 (0.7606)	Acc@1 81.250 (81.250)	Acc@5 93.750 (93.750)
Epoch: [3][20/299], lr: 0.00100	Time 0.345 (0.521)	Data 0.002 (0.206)	Loss 1.4176 (1.0950)	Acc@1 59.375 (69.494)	Acc@5 84.375 (91.667)
Epoch: [3][40/299], lr: 0.00100	Time 0.306 (0.421)	Data 0.000 (0.106)	Loss 0.9046 (1.1489)	Acc@1 75.000 (67.149)	Acc@5 93.750 (91.082)
Epoch: [3][60/299], lr: 0.00100	Time 0.307 (0.383)	Data 0.000 (0.071)	Loss 1.2039 (1.1559)	Acc@1 71.875 (67.469)	Acc@5 93.750 (90.881)
Epoch: [3][80/299], lr: 0.00100	Time 0.361 (0.375)	Data 0.000 (0.054)	Loss 0.9793 (1.1309)	Acc@1 68.750 (67.785)	Acc@5 93.750 (91.628)
Epoch: [3][100/299], lr: 0.00100	Time 0.304 (0.361)	Data 0.000 (0.043)	Loss 0.8213 (1.1212)	Acc@1 75.000 (67.946)	Acc@5 90.625 (91.801)
Epoch: [3][120/299], lr: 0.00100	Time 0.306 (0.352)	Data 0.000 (0.036)	Loss 1.6013 (1.1078)	Acc@1 65.625 (68.595)	Acc@5 90.625 (91.710)
Epoch: [3][140/299], lr: 0.00100	Time 0.315 (0.346)	Data 0.000 (0.031)	Loss 0.8230 (1.1108)	Acc@1 81.250 (68.617)	Acc@5 96.875 (91.556)
Epoch: [3][160/299], lr: 0.00100	Time 0.306 (0.341)	Data 0.000 (0.027)	Loss 0.8149 (1.0999)	Acc@1 78.125 (68.828)	Acc@5 96.875 (91.693)
Epoch: [3][180/299], lr: 0.00100	Time 0.304 (0.344)	Data 0.000 (0.024)	Loss 1.5212 (1.0972)	Acc@1 46.875 (68.905)	Acc@5 87.500 (91.851)
Epoch: [3][200/299], lr: 0.00100	Time 0.306 (0.340)	Data 0.000 (0.022)	Loss 1.0826 (1.1038)	Acc@1 71.875 (68.719)	Acc@5 90.625 (91.760)
Epoch: [3][220/299], lr: 0.00100	Time 0.309 (0.337)	Data 0.000 (0.020)	Loss 1.0446 (1.0989)	Acc@1 65.625 (68.863)	Acc@5 96.875 (91.813)
Epoch: [3][240/299], lr: 0.00100	Time 0.308 (0.335)	Data 0.000 (0.018)	Loss 0.9468 (1.0902)	Acc@1 68.750 (69.022)	Acc@5 96.875 (92.012)
Epoch: [3][260/299], lr: 0.00100	Time 0.309 (0.333)	Data 0.000 (0.017)	Loss 0.9958 (1.0815)	Acc@1 71.875 (69.109)	Acc@5 93.750 (92.134)
Epoch: [3][280/299], lr: 0.00100	Time 0.307 (0.331)	Data 0.000 (0.016)	Loss 0.4362 (1.0769)	Acc@1 90.625 (69.195)	Acc@5 100.000 (92.160)
Epoch: [4][0/299], lr: 0.00100	Time 5.332 (5.332)	Data 4.682 (4.682)	Loss 1.7009 (1.7009)	Acc@1 53.125 (53.125)	Acc@5 81.250 (81.250)
Epoch: [4][20/299], lr: 0.00100	Time 0.308 (0.549)	Data 0.000 (0.224)	Loss 0.6165 (0.9323)	Acc@1 81.250 (73.512)	Acc@5 96.875 (94.345)
Epoch: [4][40/299], lr: 0.00100	Time 0.302 (0.468)	Data 0.000 (0.115)	Loss 1.0391 (0.9769)	Acc@1 62.500 (72.104)	Acc@5 90.625 (93.140)
Epoch: [4][60/299], lr: 0.00100	Time 0.307 (0.414)	Data 0.000 (0.077)	Loss 1.2873 (0.9747)	Acc@1 65.625 (72.695)	Acc@5 84.375 (92.982)
Epoch: [4][80/299], lr: 0.00100	Time 0.304 (0.388)	Data 0.000 (0.058)	Loss 1.1522 (0.9997)	Acc@1 59.375 (71.875)	Acc@5 93.750 (92.785)
Epoch: [4][100/299], lr: 0.00100	Time 0.307 (0.372)	Data 0.000 (0.047)	Loss 0.6839 (0.9933)	Acc@1 78.125 (71.813)	Acc@5 96.875 (93.100)
Epoch: [4][120/299], lr: 0.00100	Time 0.307 (0.361)	Data 0.000 (0.039)	Loss 1.4408 (0.9963)	Acc@1 65.625 (71.488)	Acc@5 84.375 (93.311)
Epoch: [4][140/299], lr: 0.00100	Time 0.306 (0.354)	Data 0.000 (0.034)	Loss 1.3408 (0.9797)	Acc@1 62.500 (71.698)	Acc@5 90.625 (93.639)
Epoch: [4][160/299], lr: 0.00100	Time 0.313 (0.348)	Data 0.000 (0.029)	Loss 1.2713 (0.9789)	Acc@1 62.500 (71.564)	Acc@5 90.625 (93.692)
Epoch: [4][180/299], lr: 0.00100	Time 0.307 (0.343)	Data 0.000 (0.026)	Loss 1.0413 (0.9748)	Acc@1 71.875 (71.754)	Acc@5 90.625 (93.733)
Epoch: [4][200/299], lr: 0.00100	Time 0.310 (0.340)	Data 0.000 (0.024)	Loss 1.0193 (0.9709)	Acc@1 62.500 (71.735)	Acc@5 100.000 (93.812)
Epoch: [4][220/299], lr: 0.00100	Time 0.305 (0.337)	Data 0.000 (0.021)	Loss 0.9550 (0.9645)	Acc@1 75.000 (71.847)	Acc@5 93.750 (93.906)
Epoch: [4][240/299], lr: 0.00100	Time 0.305 (0.337)	Data 0.000 (0.020)	Loss 1.1129 (0.9631)	Acc@1 75.000 (71.992)	Acc@5 90.625 (93.867)
Epoch: [4][260/299], lr: 0.00100	Time 0.307 (0.334)	Data 0.000 (0.018)	Loss 1.0741 (0.9572)	Acc@1 68.750 (72.114)	Acc@5 93.750 (93.846)
Epoch: [4][280/299], lr: 0.00100	Time 0.306 (0.332)	Data 0.000 (0.017)	Loss 0.8178 (0.9467)	Acc@1 75.000 (72.398)	Acc@5 93.750 (93.939)
Test: [0/119]	Time 3.601 (3.601)	Loss 0.4851 (0.4851)	Acc@1 84.375 (84.375)	Acc@5 100.000 (100.000)
Test: [20/119]	Time 0.108 (0.401)	Loss 1.2746 (0.7324)	Acc@1 68.750 (79.762)	Acc@5 84.375 (95.387)
Test: [40/119]	Time 0.766 (0.320)	Loss 1.1865 (0.8431)	Acc@1 65.625 (75.686)	Acc@5 90.625 (95.198)
Test: [60/119]	Time 0.106 (0.308)	Loss 1.3154 (1.0119)	Acc@1 53.125 (70.338)	Acc@5 100.000 (93.340)
Test: [80/119]	Time 0.812 (0.275)	Loss 0.6040 (1.0137)	Acc@1 78.125 (71.451)	Acc@5 96.875 (92.785)
Test: [100/119]	Time 0.105 (0.262)	Loss 0.6770 (0.9974)	Acc@1 84.375 (71.504)	Acc@5 100.000 (93.131)
 * Acc@1 70.764 Acc@5 92.281
Epoch: [5][0/299], lr: 0.00100	Time 3.149 (3.149)	Data 2.583 (2.583)	Loss 1.0833 (1.0833)	Acc@1 65.625 (65.625)	Acc@5 93.750 (93.750)
Epoch: [5][20/299], lr: 0.00100	Time 0.306 (0.442)	Data 0.000 (0.123)	Loss 0.9145 (0.9034)	Acc@1 75.000 (74.702)	Acc@5 100.000 (95.982)
Epoch: [5][40/299], lr: 0.00100	Time 0.304 (0.377)	Data 0.000 (0.063)	Loss 0.7795 (0.8700)	Acc@1 78.125 (75.152)	Acc@5 100.000 (96.113)
Epoch: [5][60/299], lr: 0.00100	Time 0.305 (0.354)	Data 0.000 (0.043)	Loss 0.9428 (0.8582)	Acc@1 68.750 (75.205)	Acc@5 87.500 (95.748)
Epoch: [5][80/299], lr: 0.00100	Time 0.304 (0.342)	Data 0.000 (0.032)	Loss 1.0689 (0.8440)	Acc@1 75.000 (75.540)	Acc@5 90.625 (95.756)
Epoch: [5][100/299], lr: 0.00100	Time 0.306 (0.343)	Data 0.000 (0.026)	Loss 0.6870 (0.8343)	Acc@1 81.250 (75.990)	Acc@5 90.625 (95.390)
Epoch: [5][120/299], lr: 0.00100	Time 0.309 (0.337)	Data 0.000 (0.022)	Loss 0.6028 (0.8182)	Acc@1 84.375 (76.420)	Acc@5 96.875 (95.403)
Epoch: [5][140/299], lr: 0.00100	Time 0.304 (0.342)	Data 0.000 (0.019)	Loss 0.9854 (0.8218)	Acc@1 62.500 (76.219)	Acc@5 96.875 (95.346)
Epoch: [5][160/299], lr: 0.00100	Time 0.306 (0.337)	Data 0.000 (0.017)	Loss 0.8867 (0.8334)	Acc@1 75.000 (75.990)	Acc@5 90.625 (95.012)
Epoch: [5][180/299], lr: 0.00100	Time 0.305 (0.334)	Data 0.000 (0.015)	Loss 0.5660 (0.8364)	Acc@1 84.375 (75.932)	Acc@5 93.750 (94.907)
