/var/spool/slurmd/job00154/slurm_script: /usr/share/lmod/lmod/libexec/lmod: No such file or directory
Start Training ...................................

          Initializing TSN with base model: BNInception.
          TSN Configurations:
              input_modality:     RGBDiff
              num_segments:       7
              new_length:         5
              consensus_module:   avg
              dropout_ratio:      0.8
               
Load and modify the standard model FC output layer
Dropout Layer added and The modified linear layer is : Linear(in_features=1024, out_features=101, bias=True)
Done. Loading and Modifying 
 ---------------------------------------------------
Converting the ImageNet model to RGBDiff model
The modified 1st layer is Conv2d(15, 64, kernel_size=(7, 7), stride=(2, 2), padding=(3, 3))
Done. RGBDiff model is ready.
---------------------------------------------------
group: first_conv_weight has 1 params, lr_mult: 1, decay_mult: 1
group: first_conv_bias has 1 params, lr_mult: 2, decay_mult: 0
group: normal_weight has 69 params, lr_mult: 1, decay_mult: 1
group: normal_bias has 69 params, lr_mult: 2, decay_mult: 0
group: BN scale/shift has 2 params, lr_mult: 1, decay_mult: 0
---------------------------------------------------
Epoch: [5][0/150], lr: 0.00100	Time 56.805 (56.805)	Data 51.904 (51.904)	Loss 0.7650 (0.7650)	Acc@1 76.562 (76.562)	Acc@5 96.875 (96.875)
Epoch: [5][20/150], lr: 0.00100	Time 4.867 (7.403)	Data 0.000 (3.407)	Loss 0.6145 (0.6154)	Acc@1 79.688 (81.250)	Acc@5 96.875 (97.842)
Epoch: [5][40/150], lr: 0.00100	Time 18.642 (6.725)	Data 14.973 (2.819)	Loss 0.6471 (0.5989)	Acc@1 78.125 (81.974)	Acc@5 95.312 (97.713)
Epoch: [5][60/150], lr: 0.00100	Time 3.395 (6.347)	Data 0.000 (2.453)	Loss 0.7296 (0.6116)	Acc@1 75.000 (81.532)	Acc@5 96.875 (97.643)
Epoch: [5][80/150], lr: 0.00100	Time 26.398 (6.515)	Data 20.254 (2.617)	Loss 0.3968 (0.6130)	Acc@1 85.938 (81.867)	Acc@5 100.000 (97.473)
Epoch: [5][100/150], lr: 0.00100	Time 2.983 (6.279)	Data 0.008 (2.409)	Loss 0.5749 (0.6076)	Acc@1 85.938 (81.977)	Acc@5 95.312 (97.447)
Epoch: [5][120/150], lr: 0.00100	Time 17.531 (6.210)	Data 13.308 (2.345)	Loss 0.5728 (0.5948)	Acc@1 84.375 (82.373)	Acc@5 96.875 (97.417)
Epoch: [5][140/150], lr: 0.00100	Time 4.314 (6.122)	Data 0.000 (2.273)	Loss 0.5513 (0.5881)	Acc@1 84.375 (82.524)	Acc@5 96.875 (97.385)
Epoch: [6][0/150], lr: 0.00100	Time 55.685 (55.685)	Data 50.306 (50.306)	Loss 0.6202 (0.6202)	Acc@1 78.125 (78.125)	Acc@5 98.438 (98.438)
Epoch: [6][20/150], lr: 0.00100	Time 2.971 (8.744)	Data 0.000 (4.998)	Loss 0.6662 (0.5618)	Acc@1 82.812 (83.780)	Acc@5 96.875 (97.768)
