Start Training ...................................

          Initializing TSN with base model: resnet18.
          TSN Configurations:
              input_modality:     RGB
              num_segments:       3
              new_length:         1
              consensus_module:   avg
              dropout_ratio:      0.0
               
Load and modify the standard model FC output layer
The modified linear layer is : Linear(in_features=512, out_features=101, bias=True)
Done. Loading and Modifying 
 ---------------------------------------------------
---------------------------------------------------
group: first_conv_weight has 1 params, lr_mult: 1, decay_mult: 1
group: first_conv_bias has 0 params, lr_mult: 2, decay_mult: 0
group: normal_weight has 20 params, lr_mult: 1, decay_mult: 1
group: normal_bias has 1 params, lr_mult: 2, decay_mult: 0
group: BN scale/shift has 2 params, lr_mult: 1, decay_mult: 0
---------------------------------------------------
Epoch: [2][260/299], lr: 0.00100	Time 0.301 (0.330)	Data 0.000 (0.014)	Loss 0.5269 (0.6893)	Acc@1 87.500 (79.861)	Acc@5 96.875 (95.965)
Epoch: [2][280/299], lr: 0.00100	Time 0.296 (0.329)	Data 0.000 (0.013)	Loss 0.7126 (0.6877)	Acc@1 71.875 (79.849)	Acc@5 93.750 (95.919)
Epoch: [3][0/299], lr: 0.00100	Time 5.708 (5.708)	Data 5.317 (5.317)	Loss 0.3317 (0.3317)	Acc@1 90.625 (90.625)	Acc@5 100.000 (100.000)
Epoch: [3][20/299], lr: 0.00100	Time 0.309 (0.563)	Data 0.000 (0.253)	Loss 0.4856 (0.4502)	Acc@1 87.500 (88.393)	Acc@5 100.000 (97.917)
Epoch: [3][40/299], lr: 0.00100	Time 0.305 (0.442)	Data 0.000 (0.130)	Loss 0.6053 (0.4697)	Acc@1 81.250 (87.195)	Acc@5 93.750 (97.485)
Epoch: [3][60/299], lr: 0.00100	Time 0.303 (0.397)	Data 0.000 (0.087)	Loss 0.4429 (0.4650)	Acc@1 84.375 (86.732)	Acc@5 100.000 (97.643)
Epoch: [3][80/299], lr: 0.00100	Time 0.306 (0.374)	Data 0.000 (0.066)	Loss 0.4815 (0.4728)	Acc@1 87.500 (86.497)	Acc@5 100.000 (97.685)
Epoch: [3][100/299], lr: 0.00100	Time 0.303 (0.366)	Data 0.000 (0.053)	Loss 0.7315 (0.4808)	Acc@1 81.250 (86.108)	Acc@5 90.625 (97.587)
Epoch: [3][120/299], lr: 0.00100	Time 0.302 (0.356)	Data 0.000 (0.044)	Loss 0.5282 (0.4901)	Acc@1 87.500 (85.847)	Acc@5 100.000 (97.650)
Epoch: [3][140/299], lr: 0.00100	Time 0.303 (0.349)	Data 0.000 (0.038)	Loss 0.9458 (0.5006)	Acc@1 62.500 (85.505)	Acc@5 100.000 (97.562)
Epoch: [3][160/299], lr: 0.00100	Time 0.302 (0.344)	Data 0.000 (0.033)	Loss 0.4674 (0.5057)	Acc@1 81.250 (85.307)	Acc@5 100.000 (97.457)
Epoch: [3][180/299], lr: 0.00100	Time 0.302 (0.339)	Data 0.000 (0.030)	Loss 0.3956 (0.5008)	Acc@1 90.625 (85.428)	Acc@5 100.000 (97.583)
Epoch: [3][200/299], lr: 0.00100	Time 0.312 (0.337)	Data 0.000 (0.027)	Loss 0.2008 (0.5056)	Acc@1 93.750 (85.354)	Acc@5 100.000 (97.544)
Epoch: [3][220/299], lr: 0.00100	Time 0.305 (0.334)	Data 0.000 (0.024)	Loss 0.2204 (0.5113)	Acc@1 90.625 (85.139)	Acc@5 100.000 (97.568)
Epoch: [3][240/299], lr: 0.00100	Time 0.301 (0.335)	Data 0.000 (0.023)	Loss 0.4149 (0.5118)	Acc@1 87.500 (85.036)	Acc@5 96.875 (97.588)
Epoch: [3][260/299], lr: 0.00100	Time 0.302 (0.333)	Data 0.000 (0.021)	Loss 0.5800 (0.5050)	Acc@1 84.375 (85.273)	Acc@5 100.000 (97.677)
Epoch: [3][280/299], lr: 0.00100	Time 0.498 (0.332)	Data 0.000 (0.019)	Loss 0.2591 (0.5044)	Acc@1 93.750 (85.153)	Acc@5 100.000 (97.742)
Epoch: [4][0/299], lr: 0.00100	Time 4.639 (4.639)	Data 4.251 (4.251)	Loss 0.5672 (0.5672)	Acc@1 87.500 (87.500)	Acc@5 96.875 (96.875)
Epoch: [4][20/299], lr: 0.00100	Time 0.300 (0.514)	Data 0.000 (0.203)	Loss 0.5266 (0.5234)	Acc@1 84.375 (86.012)	Acc@5 100.000 (97.619)
Epoch: [4][40/299], lr: 0.00100	Time 0.301 (0.428)	Data 0.000 (0.104)	Loss 0.3028 (0.5094)	Acc@1 93.750 (85.290)	Acc@5 96.875 (97.713)
Epoch: [4][60/299], lr: 0.00100	Time 0.309 (0.387)	Data 0.000 (0.070)	Loss 0.5227 (0.4694)	Acc@1 84.375 (86.219)	Acc@5 96.875 (98.105)
Epoch: [4][80/299], lr: 0.00100	Time 0.405 (0.368)	Data 0.000 (0.053)	Loss 0.2277 (0.4383)	Acc@1 93.750 (87.153)	Acc@5 100.000 (98.418)
Epoch: [4][100/299], lr: 0.00100	Time 0.305 (0.364)	Data 0.000 (0.042)	Loss 0.5450 (0.4396)	Acc@1 81.250 (87.129)	Acc@5 96.875 (98.484)
Epoch: [4][120/299], lr: 0.00100	Time 0.303 (0.354)	Data 0.000 (0.035)	Loss 0.3420 (0.4367)	Acc@1 93.750 (87.371)	Acc@5 96.875 (98.528)
Epoch: [4][140/299], lr: 0.00100	Time 0.306 (0.347)	Data 0.000 (0.030)	Loss 0.5615 (0.4253)	Acc@1 84.375 (87.566)	Acc@5 90.625 (98.404)
Epoch: [4][160/299], lr: 0.00100	Time 0.300 (0.342)	Data 0.000 (0.027)	Loss 0.4230 (0.4275)	Acc@1 87.500 (87.364)	Acc@5 100.000 (98.486)
Epoch: [4][180/299], lr: 0.00100	Time 0.303 (0.339)	Data 0.000 (0.024)	Loss 0.4875 (0.4284)	Acc@1 87.500 (87.345)	Acc@5 93.750 (98.429)
Epoch: [4][200/299], lr: 0.00100	Time 0.303 (0.336)	Data 0.000 (0.021)	Loss 0.3302 (0.4206)	Acc@1 87.500 (87.609)	Acc@5 100.000 (98.492)
Epoch: [4][220/299], lr: 0.00100	Time 0.301 (0.333)	Data 0.000 (0.019)	Loss 0.2239 (0.4171)	Acc@1 90.625 (87.698)	Acc@5 100.000 (98.445)
Epoch: [4][240/299], lr: 0.00100	Time 0.309 (0.338)	Data 0.000 (0.018)	Loss 0.1767 (0.4115)	Acc@1 93.750 (87.889)	Acc@5 100.000 (98.457)
Epoch: [4][260/299], lr: 0.00100	Time 0.303 (0.336)	Data 0.000 (0.016)	Loss 0.4224 (0.4078)	Acc@1 81.250 (87.955)	Acc@5 100.000 (98.467)
Epoch: [4][280/299], lr: 0.00100	Time 0.299 (0.334)	Data 0.000 (0.015)	Loss 0.2887 (0.4085)	Acc@1 87.500 (87.923)	Acc@5 100.000 (98.488)
Test: [0/119]	Time 4.058 (4.058)	Loss 0.8481 (0.8481)	Acc@1 68.750 (68.750)	Acc@5 100.000 (100.000)
Test: [20/119]	Time 0.102 (0.364)	Loss 0.8215 (1.0723)	Acc@1 71.875 (71.280)	Acc@5 90.625 (93.006)
Test: [40/119]	Time 1.257 (0.311)	Loss 1.7048 (1.1677)	Acc@1 50.000 (69.512)	Acc@5 87.500 (92.530)
Test: [60/119]	Time 0.104 (0.290)	Loss 1.1602 (1.2623)	Acc@1 53.125 (67.777)	Acc@5 90.625 (91.086)
Test: [80/119]	Time 1.242 (0.287)	Loss 0.5634 (1.2029)	Acc@1 78.125 (70.139)	Acc@5 100.000 (91.088)
Test: [100/119]	Time 0.103 (0.274)	Loss 0.7882 (1.2194)	Acc@1 71.875 (69.740)	Acc@5 100.000 (91.244)
 * Acc@1 70.473 Acc@5 91.197
Epoch: [5][0/299], lr: 0.00100	Time 2.921 (2.921)	Data 2.571 (2.571)	Loss 0.2783 (0.2783)	Acc@1 87.500 (87.500)	Acc@5 100.000 (100.000)
Epoch: [5][20/299], lr: 0.00100	Time 0.359 (0.431)	Data 0.000 (0.123)	Loss 0.3751 (0.3438)	Acc@1 87.500 (88.988)	Acc@5 100.000 (99.107)
Epoch: [5][40/299], lr: 0.00100	Time 0.299 (0.369)	Data 0.000 (0.063)	Loss 0.4364 (0.3680)	Acc@1 87.500 (89.329)	Acc@5 96.875 (98.628)
Epoch: [5][60/299], lr: 0.00100	Time 0.309 (0.351)	Data 0.000 (0.042)	Loss 0.3212 (0.3488)	Acc@1 84.375 (89.344)	Acc@5 100.000 (98.924)
Epoch: [5][80/299], lr: 0.00100	Time 0.301 (0.339)	Data 0.000 (0.032)	Loss 0.3143 (0.3391)	Acc@1 90.625 (89.545)	Acc@5 100.000 (98.958)
Epoch: [5][100/299], lr: 0.00100	Time 0.314 (0.332)	Data 0.000 (0.026)	Loss 0.2412 (0.3428)	Acc@1 90.625 (89.387)	Acc@5 100.000 (98.793)
Epoch: [5][120/299], lr: 0.00100	Time 0.302 (0.327)	Data 0.000 (0.021)	Loss 0.4686 (0.3442)	Acc@1 87.500 (89.411)	Acc@5 100.000 (98.786)
Epoch: [5][140/299], lr: 0.00100	Time 0.301 (0.324)	Data 0.000 (0.018)	Loss 0.5705 (0.3527)	Acc@1 81.250 (89.184)	Acc@5 96.875 (98.803)
Epoch: [5][160/299], lr: 0.00100	Time 0.303 (0.334)	Data 0.000 (0.017)	Loss 0.3864 (0.3500)	Acc@1 87.500 (89.344)	Acc@5 100.000 (98.874)
Epoch: [5][180/299], lr: 0.00100	Time 0.311 (0.331)	Data 0.000 (0.015)	Loss 0.3355 (0.3531)	Acc@1 87.500 (89.227)	Acc@5 100.000 (98.860)
Epoch: [5][200/299], lr: 0.00100	Time 0.299 (0.328)	Data 0.000 (0.013)	Loss 0.3501 (0.3447)	Acc@1 87.500 (89.521)	Acc@5 100.000 (98.896)
Epoch: [5][220/299], lr: 0.00100	Time 0.313 (0.326)	Data 0.000 (0.012)	Loss 0.6162 (0.3466)	Acc@1 78.125 (89.451)	Acc@5 93.750 (98.897)
Epoch: [5][240/299], lr: 0.00100	Time 0.303 (0.325)	Data 0.000 (0.011)	Loss 0.1845 (0.3436)	Acc@1 93.750 (89.614)	Acc@5 100.000 (98.898)
